Name,Short Code,Functional Group,Label ID
Aequipecten tehuelchus,A.tehuelcu,Other Invertebrates,3735
Anthothoe chilensis,A.chilensi,Other Invertebrates,3447
Aplidium sp.,Aplidium,Other Invertebrates,487
Arbacia dufresnii,A.dufresni,Other Invertebrates,3395
Ascidians: stalked: Solitary,ASSS,Other Invertebrates,340
Ascidians: stalked:Colonial,ASSC,Other Invertebrates,341
Ascidians: Unstalked: Colonial,ASUC,Other Invertebrates,338
Ascidians: Unstalked: Solitary,ASUS,Other Invertebrates,337
Ascidiella aspersa,A.aspersa,Other Invertebrates,1469
Asperococcus ensiformis,Asperococ,Algae,4528
Asterocarpa humilis,ascidROJA,Other Invertebrates,3449
Aulacomya atra,A.atra,Other Invertebrates,3445
Austromegabalanus psittacus,A.psittacu,Other Invertebrates,3448
Balanus glandula,B.glandula,Other Invertebrates,994
Boring Bivalves,Datil,Other Invertebrates,3490
Bryozoa: hard: branching,BHB,Other Invertebrates,335
Bryozoa: hard: encrusting,BHE,Other Invertebrates,334
Bryozoa: hard: massive,BHM,Other Invertebrates,332
Bugulina sp.,Brio.Bugul,Other Invertebrates,4107
Calcareous sponge,cal,Other Invertebrates,4523
Ciona robusta,C.robusta,Other Invertebrates,3815
Clathria sp.,SpongeClat,Other Invertebrates,3812
Cliona sp.,SpongeCLIO,Other Invertebrates,3623
Cnidaria: Hydroids,CNHYD,Other Invertebrates,7884
Codium vermilara/fragile,Codium,Algae,3487
Colpomenia sinuosa,C.sinuosa,Algae,512
Corallina officinalis (substratum),C.officina,Algae,1662
Corella eumyota,CorellaEu,Other Invertebrates,3679
Corynactis carnea,C.carnea,Other Invertebrates,3444
Cosmasterias lurida,C.lurida,Other Invertebrates,3811
Cycethra verrucosa,C.verrucos,Other Invertebrates,3595
Darwinella cf. rosacea,SpongeROSE,Other Invertebrates,3624
Dictyota dichotoma,D.dichotom,Algae,2828
Diplosoma listerianum,D.listeria,Other Invertebrates,1499
Fissurellidea patagonica,F.patagoni,Other Invertebrates,3734
Halcurias sp.,Halcurias,Other Invertebrates,3511
Lissoclinum fragile,L.fragile,Other Invertebrates,3489
Lomentaria clavellosa,L.clavello,Algae,3816
Macroalgae: Encrusting: brown,MAENB,Algae,324
Macroalgae: Filamentous / filiform : brown,FILAbrown,Algae,312
Macroalgae: Filamentous / filiform : green,FILAGreen,Algae,311
Macroalgae: Filamentous / filiform : red,FILA,Algae,310
Macroalgae: Sheet-like / membraneous: red,MASR,Algae,296
Macroalgae:Encrusting:Red:Calcareous:Crustose,MAENRC,Algae,2845
Magellania venosa,Braquiopod,Other Invertebrates,3611
Metridium senile,M.senile,Other Invertebrates,1026
Mytilus edulis,M.edulis,Other Invertebrates,1540
Myxicola,Myxicola,Other Invertebrates,3822
Odontaster penicillatus,O.penicill,Other Invertebrates,3629
Parabunodactis imperfecta,P.imperfec,Other Invertebrates,3592
Paramolgula gregaria,P.gregaria,Other Invertebrates,3736
Pleurobranchaea maculata,P.maculata,Other Invertebrates,3474
Sabellidae,Sabellidae,Other Invertebrates,978
Shadow,SHAD,Other,222
Shell/ Shell Hash,Shell,Hard Substrate,523
Sponge: Encrusting,SpongeCRUS,Other Invertebrates,3615
Sponge: Massive,SpongeMASS,Other Invertebrates,3617
Sponge: massive violet,Violeta,Other Invertebrates,4108
Sponges: Cup-likes: Tubes and chimneys,SPCLTC,Other Invertebrates,7009
Sponges: Erect forms: Branching,SPEB,Other Invertebrates,288
Substrate: Consolidated (hard),SC,Hard Substrate,4114
Terebellidae,Terebellid,Other Invertebrates,3496
Tripalea clavaria,T.clavaria,Other Invertebrates,3810
Ulva,ULVA,Algae,584
Undaria pinnatifida,U.pinnatif,Algae,3485
Unknown,Unk,Other,1647
white net,whitenet,Other,3498
Worms: Polychaetes: Tube worms,TuboPoliqu,Other Invertebrates,361